customer_id,name,email,total_spend,social_handle,success,reason
281,Ruth White,ruthwhite@yahoo.com,1616.8000000000002,@ruthwhite_social,true,pushed_ok
874,Steven Rodriguez,steven.rodriguez@hotmail.com,1542.07,@steven_rodriguez_social,true,pushed_ok
D347,Steven Moore,steven_moore@example.com,1464.62,@steven_moore_social,true,pushed_ok
D321,David Garcia,david.garcia@company.com,1464.5,@david_garcia_social,true,pushed_ok
397,Daniel White,danielwhite@yahoo.com,1433.48,@danielwhite_social,true,pushed_ok
A243,Donna Thompson,donna_thompson@gmail.com,1428.94,@donna_thompson_social,true,pushed_ok
D622,James Wilson,james.wilson@hotmail.com,1405.78,@james_wilson_social,true,pushed_ok
112,Karen Sanchez,karen_sanchez@example.com,1381.61,@karen_sanchez_social,true,pushed_ok
768,Daniel Scott,danielscott@outlook.com,1379.6,@danielscott_social,true,pushed_ok
350,Daniel Sanchez,notfound14@example.com,1290.3799999999999,,false,no_profile
865,Elizabeth Harris,notfound28@example.com,1255.12,,false,no_profile
251,Paul Garcia,,1240.83,,false,missing_email
760,John Perez,john_perez@outlook.com,1234.91,@john_perez_social,true,pushed_ok
356,Karen Hill,karen.hill@outlook.com,1234.45,@karen_hill_social,true,pushed_ok
466,Nancy Lee,nancy_lee@gmail.com,1217.67,@nancy_lee_social,true,pushed_ok
E104,Paul Lee,paullee@gmail.com,1202.48,@paullee_social,true,pushed_ok
D375,Michael Hernandez,michael_hernandez@company.com,1184.83,@michael_hernandez_social,true,pushed_ok
217,Joshua Robinson,joshua_robinson@hotmail.com,1183.1,@joshua_robinson_social,true,pushed_ok
E338,Jessica King,jessica_king@hotmail.com,1159.79,@jessica_king_social,true,pushed_ok
D696,Mary Hernandez,maryhernandez@gmail.com,1141.8899999999999,@maryhernandez_social,true,pushed_ok
E968,Donald Moore,donald_moore@yahoo.com,1079.81,@donald_moore_social,true,pushed_ok
A749,Anthony Smith,notfound26@example.com,1078.81,,false,no_profile
564,Susan Moore,notfound12@example.com,1012.8900000000001,,false,no_profile
E409,Karen Scott,karen.scott@company.com,1006.1,@karen_scott_social,true,pushed_ok
885,Sandra Perez,sandra.perez@example.com,1004.51,@sandra_perez_social,true,pushed_ok
411,James Lee,james_lee@hotmail.com,958.21,@james_lee_social,true,pushed_ok
756,Helen Rodriguez,helen.rodriguez@example.com,890.06,@helen_rodriguez_social,true,pushed_ok
967,David Wilson,david_wilson@outlook.com,763.24,@david_wilson_social,true,pushed_ok
C551,Karen Allen,karen_allen@yahoo.com,696.27,@karen_allen_social,true,pushed_ok
D460,Matthew Thomas,matthew.thomas@hotmail.com,695.09,@matthew_thomas_social,true,pushed_ok
313,Jessica Taylor,jessica_taylor@yahoo.com,668.57,@jessica_taylor_social,true,pushed_ok
B512,Joseph Wilson,notfound29@example.com,663.19,,false,no_profile
A262,Matthew White,matthewwhite@hotmail.com,631.99,@matthewwhite_social,true,pushed_ok
C138,Christopher Thompson,christopherthompson@hotmail.com,631.69,@christopherthompson_social,true,pushed_ok
C175,Karen Lewis,karenlewis@example.com,583.75,@karenlewis_social,true,pushed_ok
D370,William Lewis,william_lewis@hotmail.com,563.0,@william_lewis_social,true,pushed_ok
D437,Steven Smith,steven_smith@outlook.com,509.81,@steven_smith_social,true,pushed_ok
B528,Mark Thomas,notfound9@example.com,437.65999999999997,,false,no_profile
E517,Thomas Lopez,thomas.lopez@yahoo.com,410.34,@thomas_lopez_social,true,pushed_ok
349,Paul White,paulwhite@gmail.com,234.05,@paulwhite_social,true,pushed_ok
E350,Michael Lewis,michael.lewis@hotmail.com,219.89,@michael_lewis_social,true,pushed_ok
E181,Charles Hernandez,charles_hernandez@yahoo.com,190.33,@charles_hernandez_social,true,pushed_ok
D908,Donald Jackson,,186.9,,false,missing_email
138,Michelle Martin,michellemartin@company.com,123.52,@michellemartin_social,true,pushed_ok
556,Sharon Scott,notfound18@example.com,118.94,,false,no_profile
460,Patricia Robinson,patricia_robinson@yahoo.com,48.79,@patricia_robinson_social,true,pushed_ok
867,Sharon Rodriguez,sharon.rodriguez@company.com,47.97,@sharon_rodriguez_social,true,pushed_ok
